Record Length,20480,,Source,CH2
Sample Interval, CH2:0.0000080000000,,Second,Volt
,,,-0.05827999860,0.04000
,,,-0.05827200040,0.00
,,,-0.05826399848,0.00
,,,-0.05825600028,0.00
,,,-0.05824799836,0.00
,,,-0.05824000016,0.00
,,,-0.05823199823,0.00
,,,-0.05822400004,0.00
,,,-0.05821599811,0.00
,,,-0.05820799991,0.04000
,,,-0.05819999799,0.04000
,,,-0.05819199979,0.00
,,,-0.05818400159,0.00
,,,-0.05817599967,0.00
,,,-0.05816800147,0.00
,,,-0.05815999955,0.00
,,,-0.05815200135,0.00
,,,-0.05814399943,0.00
,,,-0.05813600123,0.00
,,,-0.05812799931,0.00
,,,-0.05812000111,0.00
,,,-0.05811199918,0.00
,,,-0.05810400099,0.00
,,,-0.05809599906,0.00
,,,-0.05808800086,0.00
,,,-0.05807999894,0.00
,,,-0.05807200074,0.00
,,,-0.05806399882,0.04000
,,,-0.05805600062,0.00
,,,-0.05804799870,0.04000
,,,-0.05804000050,0.00
,,,-0.05803199857,0.04000
,,,-0.05802400038,0.00
,,,-0.05801599845,0.00
,,,-0.05800800025,0.00
,,,-0.05799999833,0.00
,,,-0.05799200013,0.00
,,,-0.05798399821,0.08000
,,,-0.05797600001,0.00
,,,-0.05796799809,0.00
,,,-0.05795999989,0.00
,,,-0.05795200169,0.00
,,,-0.05794399977,0.00
,,,-0.05793600157,0.00
,,,-0.05792799965,0.04000
,,,-0.05792000145,0.04000
,,,-0.05791199952,0.00
,,,-0.05790400133,0.04000
,,,-0.05789599940,0.00
,,,-0.05788800120,0.00
,,,-0.05787999928,0.00
,,,-0.05787200108,0.00
,,,-0.05786399916,0.00
,,,-0.05785600096,0.04000
,,,-0.05784799904,0.00
,,,-0.05784000084,0.00
,,,-0.05783199891,0.00
,,,-0.05782400072,0.00
,,,-0.05781599879,0.00
,,,-0.05780800059,0.00
,,,-0.05779999867,0.04000
,,,-0.05779200047,0.00
,,,-0.05778399855,0.00
,,,-0.05777600035,-0.04000
,,,-0.05776799843,0.00
,,,-0.05776000023,0.00
,,,-0.05775199831,0.00
,,,-0.05774400011,0.00
,,,-0.05773599818,0.00
,,,-0.05772799999,0.00
,,,-0.05771999806,0.00
,,,-0.05771199986,0.08000
,,,-0.05770400167,0.04000
,,,-0.05769599974,0.00
,,,-0.05768800154,0.00
,,,-0.05767999962,0.00
,,,-0.05767200142,0.00
,,,-0.05766399950,0.00
,,,-0.05765600130,0.04000
,,,-0.05764799938,0.00
,,,-0.05764000118,0.00
,,,-0.05763199925,0.00
,,,-0.05762400106,0.00
,,,-0.05761599913,0.00
,,,-0.05760800093,0.00
,,,-0.05759999901,0.00
,,,-0.05759200081,0.04000
,,,-0.05758399889,0.04000
,,,-0.05757600069,0.00
,,,-0.05756799877,0.04000
,,,-0.05756000057,0.00
,,,-0.05755199865,0.00
,,,-0.05754400045,0.00
,,,-0.05753599852,0.00
,,,-0.05752800032,0.00
,,,-0.05751999840,0.00
,,,-0.05751200020,0.00
,,,-0.05750399828,0.00
,,,-0.05749600008,0.04000
,,,-0.05748799816,0.04000
,,,-0.05747999996,0.00
,,,-0.05747199804,0.00
,,,-0.05746399984,0.00
,,,-0.05745600164,0.00
,,,-0.05744799972,0.00
,,,-0.05744000152,0.00
,,,-0.05743199959,0.04000
,,,-0.05742400140,0.00
,,,-0.05741599947,0.04000
,,,-0.05740800127,0.00
,,,-0.05739999935,0.00
,,,-0.05739200115,0.00
,,,-0.05738399923,0.00
,,,-0.05737600103,0.00
,,,-0.05736799911,0.00
,,,-0.05736000091,0.04000
,,,-0.05735199898,0.00
,,,-0.05734400079,0.00
,,,-0.05733599886,0.00
,,,-0.05732800066,0.04000
,,,-0.05731999874,0.00
,,,-0.05731200054,0.00
,,,-0.05730399862,0.00
,,,-0.05729600042,0.00
,,,-0.05728799850,0.00
,,,-0.05728000030,0.00
,,,-0.05727199838,0.04000
,,,-0.05726400018,0.00
,,,-0.05725599825,0.00
,,,-0.05724800006,0.00
,,,-0.05723999813,0.00
,,,-0.05723199993,0.00
,,,-0.05722399801,0.00
,,,-0.05721599981,0.00
,,,-0.05720800161,0.08000
,,,-0.05719999969,0.00
,,,-0.05719200149,0.00
,,,-0.05718399957,0.00
,,,-0.05717600137,0.00
,,,-0.05716799945,0.00
,,,-0.05716000125,0.00
,,,-0.05715199932,0.00
,,,-0.05714400113,0.04000
,,,-0.05713599920,0.00
,,,-0.05712800100,0.04000
,,,-0.05711999908,0.00
,,,-0.05711200088,0.00
,,,-0.05710399896,0.04000
,,,-0.05709600076,0.08000
,,,-0.05708799884,0.04000
,,,-0.05708000064,0.00
,,,-0.05707199872,0.00
,,,-0.05706400052,0.00
,,,-0.05705599859,0.08000
,,,-0.05704800040,0.00
,,,-0.05703999847,0.00
,,,-0.05703200027,0.04000
,,,-0.05702399835,0.00
,,,-0.05701600015,0.00
,,,-0.05700799823,0.00
,,,-0.05700000003,0.00
